"26972";"quickyfun";"http://de.geocities.com/qmland25/quickyfun.zip"
"27648";"C-Lab v2.0";"http://www.geocities.com/chaoscpc/CLabv20.zip"
"27649";"Defenders of the Universe (preview)";"http://www.geocities.com/chaoscpc/dou_prv.zip"
"27650";"Gifpack";"http://www.geocities.com/magicnah/cyanide-gifpack.zip"
"28335";"Tantrix";"http://www.geocities.com/erno_szekely/tantrix.zip"
"28364";"Mesesajt's XMAS";"http://www.geocities.com/erno_szekely/MX.zip"
"28371";"Mesesajt's XMAS again";"http://www.geocities.com/erno_szekely/xmas.zip"
"28809";".";"http://in.geocities.com/suckingrhinocock/nun.html"
"29015";"Color Dream";"http://www.geocities.com/digimind/color_dream.zip"
"29954";"1krainbow";"http://es.geocities.com/pedropajarito/rainbow.zip"
"30199";"Thessaloniki meeting 2 demo";"http://www.geocities.com/dminds_cpc/4demos.zip"
"30200";"Bugs Hell MAD TV part";"http://www.geocities.com/dminds_cpc/4demos.zip"
"30567";"kopper256b";"http://www.geocities.com/goodguy_nl/kopper256b.zip"
"49355";"Indecent";"http://www.geocities.com/boltbaits/256byte/INDECSRC.ZIP"
"49364";"Space WORM";"http://www.geocities.com/boltbaits/256byte/SW.ZIP"
"49365";"Formula 1 Turbo";"http://www.geocities.com/boltbaits/256byte/F1-TURBO.ZIP"
"49704";"nothing special";"http://de.geocities.com/qmland25/in_some_days_is_BP.zip"
"49856";"Neon Station";"http://www.geocities.com/digimind/neon_station.zip"
"52158";"Digital christmas demo";"http://www.geocities.com/SiliconValley/Vista/8716/digitalx.zip"
"52159";"Rising 99";"http://www.geocities.com/SiliconValley/Vista/8716/rising.zip"
"52160";"Mydraal";"http://www.geocities.com/SiliconValley/Vista/8716/slide.zip"
"52161";"The lost intros";"http://www.geocities.com/SiliconValley/Vista/8716/lost.zip"
"52162";"avendesora collection #2";"http://www.geocities.com/SiliconValley/Vista/8716/avend.zip"
"52163";"Medway Boys intro compilation";"http://www.geocities.com/SiliconValley/Vista/8716/medway.zip"
"52618";"Al-Taubah";"http://www.geocities.com/trollingwithcode/al-taubah.zip"
